Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Badge (product.metafields.custom.badge),Emotional Axes (product.metafields.custom.emotional_axes),Focus Keyword (product.metafields.custom.focus_keyword),Highlights (product.metafields.custom.highlights),SEO Keywords (product.metafields.custom.seo_keywords),Shipping Note (product.metafields.custom.shipping_note),Short Description (product.metafields.custom.short_description),Trust Badges (product.metafields.custom.trust_badges),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Has SEO Tags (product.metafields.seo.has_seo_tags),Active ingredient (product.metafields.shopify.active-ingredient),Age group (product.metafields.shopify.age-group),Bristle material (product.metafields.shopify.bristle-material),Bristle shape (product.metafields.shopify.bristle-shape),Color (product.metafields.shopify.color-pattern),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Hair type (product.metafields.shopify.hair-type),Hold level (product.metafields.shopify.hold-level),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Moisturizer type (product.metafields.shopify.moisturizer-type),Product form (product.metafields.shopify.product-form),Ring design (product.metafields.shopify.ring-design),Ring size (product.metafields.shopify.ring-size),Skin care effect (product.metafields.shopify.skin-care-effect),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,"Ouhoe Moisturizing And Protective Cream, A Double Action Moisturizing And Protective Cream That Protects Light Texture And Enhances Skin Hydration All Day Long","<p>MVQueen Core introduction about luxury.</p>
<p>Describe benefits for luxury.
Describe textures and finishes.
Describe mood and emotional payoff.</p>
<p>Close with a confident, persona-aligned CTA.</p>",eprolo,,,,true,color,default title,,,,,,,,OUA05-A139-50-WH1,96.0,shopify,continue,manual,23.10,29.987499999999997,true,true,,,,,,https://cdn.shopify.com/s/files/1/0790/7177/2898/files/C3598981CE7D473F4D8769A3A98E4780.jpg?v=1770075413,1,"Ouhoe Moisturizing And Protective Cream, A Double Action Moisturizing And Protective Cream That Protects Light Texture And Enhances Skin Hydration All Day Long product image",false,"Ouhoe Moisturizing And Protective Cream, A Double Action Moisturizing And Protective Cream That Protects Light Texture And Enhances Skin Hydration All Day Long | luxury","Ouhoe Moisturizing And Protective Cream, A Double Action Moisturizing And Protective Cream That Protects Light Texture And Enhances Skin Hydration All Day Long ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7177/2898/files/C3598981CE7D473F4D8769A3A98E4780.jpg?v=1770075413,g,,3.80,active
ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,"<p>MVQueen Core introduction about luxury.</p>
<p>Describe benefits for luxury.
Describe textures and finishes.
Describe mood and emotional payoff.</p>
<p>Close with a confident, persona-aligned CTA.</p>",,,,,,,,,,,,,,,,,,,,,24.987499999999997,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7177/2898/files/EB5C9045F7837B41D9922DDE4AAE0DF9.jpg?v=1770075415,2,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1 product image,,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1 | luxury,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,"<p>MVQueen Core introduction about luxury.</p>
<p>Describe benefits for luxury.
Describe textures and finishes.
Describe mood and emotional payoff.</p>
<p>Close with a confident, persona-aligned CTA.</p>",,,,,,,,,,,,,,,,,,,,,24.987499999999997,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7177/2898/files/5464BFB95D04090D874F4F5EA0A38F51.jpg?v=1770075417,3,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1 product image,,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1 | luxury,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,"<p>MVQueen Core introduction about luxury.</p>
<p>Describe benefits for luxury.
Describe textures and finishes.
Describe mood and emotional payoff.</p>
<p>Close with a confident, persona-aligned CTA.</p>",,,,,,,,,,,,,,,,,,,,,24.987499999999997,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7177/2898/files/FDE50E33F3F1C330271DA1B7EAF54836.jpg?v=1770075419,4,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1 product image,,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1 | luxury,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,"<p>MVQueen Core introduction about luxury.</p>
<p>Describe benefits for luxury.
Describe textures and finishes.
Describe mood and emotional payoff.</p>
<p>Close with a confident, persona-aligned CTA.</p>",,,,,,,,,,,,,,,,,,,,,24.987499999999997,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7177/2898/files/F73569331610E057F0468CAB97A8F822.jpg?v=1770075422,5,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1 product image,,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1 | luxury,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,"<p>MVQueen Core introduction about luxury.</p>
<p>Describe benefits for luxury.
Describe textures and finishes.
Describe mood and emotional payoff.</p>
<p>Close with a confident, persona-aligned CTA.</p>",,,,,,,,,,,,,,,,,,,,,24.987499999999997,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7177/2898/files/98FE5564038ED7BC8CE86C71EF34F459.jpg?v=1770075424,6,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1 product image,,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1 | luxury,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ouhoe-neck-moisturizer-hydrating-hydrating-purifying-and-firming-care-for-neck-skin,Hydrating Neck Firming Cream,"<p>beauty, dropsure, eprolo, runCode.tagsToAdd, skincare introduction about luxury.</p>
<p>Describe benefits for luxury.
Describe textures and finishes.
Describe mood and emotional payoff.</p>
<p>Close with a confident, persona-aligned CTA.</p>",Dropsure,Health & Beauty > Personal Care > Cosmetics > Skin Care > Anti-Aging Skin Care,,,true,Title,Default Title,,,,,,,,ZIQ68,0.0,dropsure-fulfillment,deny,dropsure-fulfillment,16.99,21.237499999999997,true,true,,,,,,,,Hydrating Neck Firming Cream product image,false,Hydrating Neck Firming Cream | luxury,Hydrating Neck Firming Cream — a luxury-focused essential designed for modern routines.,2592,,,,,,,,,,,,,,,,,,,,,retinol,,,,,retinol,,,,,all-day,cream,,,firming; hydrating; moisturizing; protection,all-skin-types,,,,,,,lb,,10.64,active
jaysuing-surprise-girls-makeup-care-set-moisturizing-moisturizing-skincare-facial-makeup-set,"Jaysuing Surprise Girls Makeup & Care Set, Moisturizing & Moisturizing Skincare & Facial Makeup Set","<p>beauty, beautyset, dropsure, eprolo, runCode.tagsToAdd, Under 50 introduction about luxury.</p>
<p>Describe benefits for luxury.
Describe textures and finishes.
Describe mood and emotional payoff.</p>
<p>Close with a confident, persona-aligned CTA.</p>",Dropsure,Uncategorized,,,true,Title,Default Title,,,,,,,,LKO92,0.0,dropsure-fulfillment,deny,dropsure-fulfillment,29.99,37.4875,true,true,,,,,,,,"Jaysuing Surprise Girls Makeup & Care Set, Moisturizing & Moisturizing Skincare & Facial Makeup Set product image",false,"Jaysuing Surprise Girls Makeup & Care Set, Moisturizing & Moisturizing Skincare & Facial Makeup Set | luxury","Jaysuing Surprise Girls Makeup & Care Set, Moisturizing & Moisturizing Skincare & Facial Makeup Set — a luxury-focused essential designed for modern routines.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
fresh-jasmines-perfume,Fresh Jasmines Perfume,"<p>beauty, dropsure, eprolo, fragrance, perfume, runCode.tagsToAdd, Under 50 introduction about luxury.</p>
<p>Describe benefits for luxury.
Describe textures and finishes.
Describe mood and emotional payoff.</p>
<p>Close with a confident, persona-aligned CTA.</p>",Dropsure,,,,true,Title,Default Title,,,,,,,,JUB45,0.0,dropsure-fulfillment,deny,dropsure-fulfillment,27.99,34.9875,true,true,,,,,,,,Fresh Jasmines Perfume product image,false,Fresh Jasmines Perfume | luxury,Fresh Jasmines Perfume — a luxury-focused essential designed for modern routines.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
roxelis-rose-essential-oil-fragrance-water-pheromone-dating-partner-fragrance-lasting-lasting-couple-atmosphere-charm-perfume,Roxelis Rose Essential Oil Fragrance Water Pheromone Dating Partner Fragrance Lasting Lasting Couple Atmosphere Charm Perfume,"<p>beauty, dropsure, eprolo, fragrance, perfume, runCode.tagsToAdd, Under 25 introduction about luxury.</p>
<p>Describe benefits for luxury.
Describe textures and finishes.
Describe mood and emotional payoff.</p>
<p>Close with a confident, persona-aligned CTA.</p>",Dropsure,,,,true,Title,Default Title,,,,,,,,NJE99,0.0,dropsure-fulfillment,deny,dropsure-fulfillment,24.99,31.237499999999997,true,true,,,,,,,,Roxelis Rose Essential Oil Fragrance Water Pheromone Dating Partner Fragrance Lasting Lasting Couple Atmosphere Charm Perfume product image,false,Roxelis Rose Essential Oil Fragrance Water Pheromone Dating Partner Fragrance Lasting Lasting Couple Atmosphere Charm Perfume | luxury,Roxelis Rose Essential Oil Fragrance Water Pheromone Dating Partner Fragrance Lasting Lasting Couple Atmosphere Charm Perfume — a luxury-focused essential desig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
