Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Badge (product.metafields.custom.badge),Emotional Axes (product.metafields.custom.emotional_axes),Focus Keyword (product.metafields.custom.focus_keyword),Highlights (product.metafields.custom.highlights),SEO Keywords (product.metafields.custom.seo_keywords),Shipping Note (product.metafields.custom.shipping_note),Short Description (product.metafields.custom.short_description),Trust Badges (product.metafields.custom.trust_badges),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Has SEO Tags (product.metafields.seo.has_seo_tags),Active ingredient (product.metafields.shopify.active-ingredient),Age group (product.metafields.shopify.age-group),Bristle material (product.metafields.shopify.bristle-material),Bristle shape (product.metafields.shopify.bristle-shape),Color (product.metafields.shopify.color-pattern),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Hair type (product.metafields.shopify.hair-type),Hold level (product.metafields.shopify.hold-level),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Moisturizer type (product.metafields.shopify.moisturizer-type),Product form (product.metafields.shopify.product-form),Ring design (product.metafields.shopify.ring-design),Ring size (product.metafields.shopify.ring-size),Skin care effect (product.metafields.shopify.skin-care-effect),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,"Ouhoe Moisturizing And Protective Cream, A Double Action Moisturizing And Protective Cream That Protects Light Texture And Enhances Skin Hydration All Day Long","<p>Our moisturizing and protective cream contains titanium dioxide and glycerin. It is effective against UV rays and protects the skin from sunburn. Its application method is very simple: clean the skin, keep dry, apply appropriate amount of this product evenly on the skin, gently massage until absorbed. And the texture is light, non-greasy, quickly absorbed, suitable for all skin types.</p><p><img class=""img-fluid"" src=""https://shopifyfile.oss-accelerate.aliyuncs.com/attached/pingtai/202508/8BAA449BA3FC8A8787BECA882B59645F.jpg""><img class=""img-fluid"" src=""https://shopifyfile.oss-accelerate.aliyuncs.com/attached/pingtai/202508/1BF836F036C88E576A97DE3F8D9E3579.jpg""><img class=""img-fluid"" src=""https://shopifyfile.oss-accelerate.aliyuncs.com/attached/pingtai/202508/AEFB072C37798B5941FE15F4B2129128.jpg""><img class=""img-fluid"" src=""https://shopifyfile.oss-accelerate.aliyuncs.com/attached/pingtai/202508/56E6533B01FAAB40AF3B3A36A65DE6A2.jpg""><img class=""img-fluid"" src=""https://shopifyfile.oss-accelerate.aliyuncs.com/attached/pingtai/202508/D3C295679A454A3942C943397C9B574C.jpg""><img class=""img-fluid"" src=""https://shopifyfile.oss-accelerate.aliyuncs.com/attached/pingtai/202508/7EDE4642A7722BA0D7A4E3E5FF2697D8.jpg""><img class=""img-fluid"" src=""https://shopifyfile.oss-accelerate.aliyuncs.com/attached/pingtai/202508/F35F28CB889CB968F9E807E0AA10843D.jpg""><img class=""img-fluid"" src=""https://shopifyfile.oss-accelerate.aliyuncs.com/attached/pingtai/202508/123D1407588DD1D0A61EA8A74A0B34B1.jpg""><img class=""img-fluid"" src=""https://shopifyfile.oss-accelerate.aliyuncs.com/attached/pingtai/202508/88CEBA248C4ADED64BF43812DF858E3F.jpg""></p>
",eprolo,,"","",true,color,default title,,,,,,,,OUA05-A139-50-WH1,96.0,shopify,continue,manual,23.10,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0790/7177/2898/files/C3598981CE7D473F4D8769A3A98E4780.jpg?v=1770075413,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7177/2898/files/C3598981CE7D473F4D8769A3A98E4780.jpg?v=1770075413,g,,3.80,active
ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7177/2898/files/EB5C9045F7837B41D9922DDE4AAE0DF9.jpg?v=1770075415,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7177/2898/files/5464BFB95D04090D874F4F5EA0A38F51.jpg?v=1770075417,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7177/2898/files/FDE50E33F3F1C330271DA1B7EAF54836.jpg?v=1770075419,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7177/2898/files/F73569331610E057F0468CAB97A8F822.jpg?v=1770075422,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7177/2898/files/98FE5564038ED7BC8CE86C71EF34F459.jpg?v=1770075424,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ouhoe-neck-moisturizer-hydrating-hydrating-purifying-and-firming-care-for-neck-skin,Hydrating Neck Firming Cream,"<p>Our neck moisturizer contains triethanolamine, palmitic acid and retinol. It can promote collagen production and improve the elasticity of the neck skin. Deep penetration brings long-lasting hydration to the neck skin. Its application method is very simple: take a proper amount of clean neck skin, gently massage until absorbed, and then evenly apply to the neck. And can be close to the skin, forming invisible protection, isolation of pollution.</p>",Dropsure,Health & Beauty > Personal Care > Cosmetics > Skin Care > Anti-Aging Skin Care,"","beauty, dropsure, eprolo, runCode.tagsToAdd, skincare",true,Title,Default Title,,,,,,,,ZIQ68,0.0,dropsure-fulfillment,deny,dropsure-fulfillment,16.99,24.99,true,true,,,,,,,,,false,,,2592,,,,,,,,,,,,,,,,,,,,,retinol,,,,,retinol,,,,,all-day,cream,,,firming; hydrating; moisturizing; protection,all-skin-types,,,,,,,lb,,10.64,active
jaysuing-surprise-girls-makeup-care-set-moisturizing-moisturizing-skincare-facial-makeup-set,"Jaysuing Surprise Girls Makeup & Care Set, Moisturizing & Moisturizing Skincare & Facial Makeup Set","<p>
	Our surprise Girls makeup and care set contains a wide range of cosmetics. It provides deep nutrition and reduces dryness. The way to use it is very simple: open the package and apply the Surprise girl makeup care set directly to the face. And a variety of products to meet different needs
</p>
<p>
	<img class=""img-fluid"" src=""westmonth/SKUDatum/JA-A01-0045-01/mainpicture/JA-A01-0045-01-1728446432018.gif"">
</p>
<p>
	<img class=""img-fluid"" src=""westmonth/SKUDatum/JA-A01-0045-01/mainpicture/JA-A01-0045-01-1728446432020.jpg""><img class=""img-fluid"" src=""westmonth/SKUDatum/JA-A01-0045-01/mainpicture/JA-A01-0045-01-1728446432011.jpg""><img class=""img-fluid"" src=""westmonth/SKUDatum/JA-A01-0045-01/mainpicture/JA-A01-0045-01-1728446432006.jpg""><img class=""img-fluid"" src=""westmonth/SKUDatum/JA-A01-0045-01/mainpicture/JA-A01-0045-01-1728446432005.jpg""><img class=""img-fluid"" src=""westmonth/SKUDatum/JA-A01-0045-01/mainpicture/JA-A01-0045-01-1728446432001.jpg""><img class=""img-fluid"" src=""westmonth/SKUDatum/JA-A01-0045-01/mainpicture/JA-A01-0045-01-1728446432002.jpg""><img class=""img-fluid"" src=""westmonth/SKUDatum/JA-A01-0045-01/mainpicture/JA-A01-0045-01-1728446432007.jpg""><img class=""img-fluid"" src=""westmonth/SKUDatum/JA-A01-0045-01/mainpicture/JA-A01-0045-01-1728446432003.jpg""><img class=""img-fluid"" src=""westmonth/SKUDatum/JA-A01-0045-01/mainpicture/JA-A01-0045-01-1728446432009.jpg"">
</p>
<p>
	<br>
</p>",Dropsure,Uncategorized,"","beauty, beautyset, dropsure, eprolo, runCode.tagsToAdd, Under 50",true,Title,Default Title,,,,,,,,LKO92,0.0,dropsure-fulfillment,deny,dropsure-fulfillment,29.99,,true,true,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
fresh-jasmines-perfume,Fresh Jasmines Perfume,"<p>
	Our Red Jasmine perfume has a lasting fragrance that includes musk, jasmine extract, and orange blossom oil. It can create an elegant aroma that is light yet long-lasting, providing a lasting fresh atmosphere. It is suitable for various occasions and can enhance your气质. The application method is very simple： Use an appropriate amount of this product， and evenly spray it on your wrists， behind your ears， neck， and other areas where you want the fragrance to last， or spray the perfume into the air. Let the perfume spread evenly throughout your body to emit a pleasant aroma. And the bergamot and lime (bergamot) fruit oil can bring a refreshing touch.
</p>
<p>
	<br>
</p>",Dropsure,,"","beauty, dropsure, eprolo, fragrance, perfume, runCode.tagsToAdd, Under 50",true,Title,Default Title,,,,,,,,JUB45,0.0,dropsure-fulfillment,deny,dropsure-fulfillment,27.99,,true,true,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
roxelis-rose-essential-oil-fragrance-water-pheromone-dating-partner-fragrance-lasting-lasting-couple-atmosphere-charm-perfume,Roxelis Rose Essential Oil Fragrance Water Pheromone Dating Partner Fragrance Lasting Lasting Couple Atmosphere Charm Perfume,"<p>
	Our Rose Essential Oil fragrance water contains PEG-40 hydrogenated castor oil and glycerin. It can provide a soft floral scent and soothe the mood. Add fresh fruit and enhance the aroma. Brings unique fragrance and elegance. Its use is simple: use a massage ball to gently apply the perfume to pulse points such as behind the ears, neck, and collarbone. Use 1-2 times at a time to achieve the best diffuser effect. The perfect combination of rose extract and pineapple extract creates a fresh and pleasant aroma. The essential oil formula ensures a long-lasting scent that will keep you looking attractive all day long.<img class=""img-fluid"" src=""westmonth/SKUDatum/RO-A10-0208-01/mainpicture/RO-A10-0208-01-1728903624002.gif""><img class=""img-fluid"" src=""westmonth/SKUDatum/RO-A10-0208-01/mainpicture/RO-A10-0208-01-1728903624010.jpg""><img class=""img-fluid"" src=""westmonth/SKUDatum/RO-A10-0208-01/mainpicture/RO-A10-0208-01-1728903624007.jpg""><img class=""img-fluid"" src=""westmonth/SKUDatum/RO-A10-0208-01/mainpicture/RO-A10-0208-01-10780081.png""><img class=""img-fluid"" src=""westmonth/SKUDatum/RO-A10-0208-01/mainpicture/RO-A10-0208-01-1728903624012.jpg""><img class=""img-fluid"" src=""westmonth/SKUDatum/RO-A10-0208-01/mainpicture/RO-A10-0208-01-1728903624019.jpg""><img class=""img-fluid"" src=""westmonth/SKUDatum/RO-A10-0208-01/mainpicture/RO-A10-0208-01-1728903624011.jpg""><img class=""img-fluid"" src=""westmonth/SKUDatum/RO-A10-0208-01/mainpicture/RO-A10-0208-01-1728903624016.jpg""><img class=""img-fluid"" src=""westmonth/SKUDatum/RO-A10-0208-01/mainpicture/RO-A10-0208-01-1728903624014.jpg""><img class=""img-fluid"" src=""westmonth/SKUDatum/RO-A10-0208-01/mainpicture/RO-A10-0208-01-1728903624017.jpg"">
</p>",Dropsure,,"","beauty, dropsure, eprolo, fragrance, perfume, runCode.tagsToAdd, Under 25",true,Title,Default Title,,,,,,,,NJE99,0.0,dropsure-fulfillment,deny,dropsure-fulfillment,24.99,,true,true,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
